player,nation,position,age,nineties,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalty_goals,penalty_attempts,season,shots_from_free_kicks,xG,npxG,npxg_per_shot,goals_minus_xg,npg_minus_npxg,fbref_comp_id
Leonardo Jara,ARG,DF,26,19.1,1,8,1,12.5,0.42,0.05,0.13,1.0,23.8,0,0,2017,0.0,1.0,1.0,0.13,0.0,0.0,21.0
Paolo Goltz,ARG,DF,32,17.5,0,5,1,20.0,0.28,0.06,0.0,0.0,12.1,0,0,2017,0.0,0.3,0.3,0.06,-0.3,-0.3,21.0
Edwin Cardona,COL,"FW,MF",24,17.5,4,65,19,29.2,3.72,1.09,0.05,0.16,24.2,1,1,2017,16.0,6.2,5.4,0.08,-2.2,-2.4,21.0
Pablo Pérez,ARG,MF,31,16.1,5,26,12,46.2,1.61,0.74,0.19,0.42,23.3,0,0,2017,1.0,2.6,2.6,0.1,2.4,2.4,21.0
Carlos Tevez,ARG,"MF,FW",33,9.0,3,27,9,33.3,2.99,1.0,0.11,0.33,17.5,0,1,2017,1.0,4.6,3.8,0.14,-1.6,-0.8,21.0
Darío Benedetto,ARG,FW,27,8.3,9,25,13,52.0,3.0,1.56,0.28,0.54,19.4,2,2,2017,2.0,7.2,5.6,0.22,1.8,1.4,21.0
Emanuel Reynoso,ARG,"MF,FW",21,8.0,0,14,4,28.6,1.76,0.5,0.0,0.0,23.9,0,0,2017,1.0,0.7,0.7,0.05,-0.7,-0.7,21.0
Santiago Vergini,ARG,DF,28,7.9,0,1,0,0.0,0.13,0.0,0.0,,9.2,0,0,2017,0.0,0.3,0.3,0.31,-0.3,-0.3,21.0
Walter Bou,ARG,FW,23,6.4,3,11,6,54.5,1.72,0.94,0.27,0.5,12.2,0,0,2017,0.0,3.2,3.2,0.29,-0.2,-0.2,21.0
Fernando Gago,ARG,MF,31,5.8,0,6,0,0.0,1.04,0.0,0.0,,27.8,0,0,2017,1.0,0.2,0.2,0.04,-0.2,-0.2,21.0
Ramón Ábila,ARG,FW,27,6.0,6,15,8,53.3,2.49,1.33,0.4,0.75,10.6,0,0,2017,0.0,5.8,5.8,0.38,0.2,0.2,21.0
Emmanuel Más,ARG,DF,28,5.4,1,4,2,50.0,0.74,0.37,0.25,0.5,13.3,0,0,2017,0.0,0.8,0.8,0.2,0.2,0.2,21.0
Julio Buffarini,ARG,"DF,MF",28,5.0,0,2,1,50.0,0.4,0.2,0.0,0.0,17.1,0,0,2017,0.0,0.1,0.1,0.04,-0.1,-0.1,21.0
Gino Peruzzi,ARG,DF,25,3.5,0,0,0,,0.0,0.0,,,,0,0,2017,0.0,0.0,0.0,,0.0,0.0,21.0
Unknown,nan,Unknown,,,,,,,,,,,,,,2017,,0.0,0.0,,0.0,0.0,21.0
Cristian Espinoza,ARG,FW,22,3.1,0,6,0,0.0,1.93,0.0,0.0,,20.0,0,0,2017,1.0,0.5,0.5,0.08,-0.5,-0.5,21.0
Sebastián Pérez Cardona,COL,MF,24,2.5,0,0,0,,0.0,0.0,,,,0,0,2017,0.0,0.0,0.0,,0.0,0.0,21.0
Oscar Benítez,ARG,FW,24,3.1,1,4,1,25.0,1.3,0.33,0.25,1.0,11.7,0,0,2017,0.0,0.6,0.6,0.16,0.4,0.4,21.0
Agustín Heredia,ARG,DF,20,2.0,0,0,0,,0.0,0.0,,,,0,0,2017,0.0,0.0,0.0,,0.0,0.0,21.0
Guido Vadalá,ARG,FW,20,2.0,1,4,1,25.0,2.01,0.5,0.25,1.0,9.4,0,0,2017,0.0,1.1,1.1,0.28,-0.1,-0.1,21.0
Agustín Almendra,ARG,MF,17,1.1,0,1,0,0.0,0.91,0.0,0.0,,26.9,0,0,2017,0.0,0.0,0.0,0.04,0.0,0.0,21.0
Julián Chicco,ARG,MF,19,1.0,0,1,0,0.0,0.97,0.0,0.0,,24.6,0,0,2017,0.0,0.0,0.0,0.03,0.0,0.0,21.0
Gonzalo Goñi,ARG,DF,18,1.0,0,0,0,,0.0,0.0,,,,0,0,2017,0.0,0.0,0.0,,0.0,0.0,21.0
Guillermo Sara,ARG,GK,29,1.0,0,0,0,,0.0,0.0,,,,0,0,2017,0.0,0.0,0.0,,0.0,0.0,21.0
Gonzalo Maroni,ARG,MF,18,1.3,0,1,1,100.0,0.78,0.78,0.0,0.0,16.3,0,0,2017,0.0,0.1,0.1,0.07,-0.1,-0.1,21.0
Agustín Bouzat,ARG,FW,23,0.5,0,3,1,33.3,5.51,1.84,0.0,0.0,17.4,0,0,2017,0.0,0.2,0.2,0.05,-0.2,-0.2,21.0
Gonzalo Lamardo,ARG,MF,20,0.3,0,1,0,0.0,3.91,0.0,0.0,,27.9,0,0,2017,0.0,0.0,0.0,0.02,0.0,0.0,21.0
Fernando Evangelista,ARG,FW,25,0.0,0,0,0,,0.0,0.0,,,,0,0,2017,0.0,0.0,0.0,,0.0,0.0,21.0
Juan Manuel Insaurralde,ARG,DF,32,0.0,0,0,0,,0.0,0.0,,,,0,0,2017,0.0,0.0,0.0,,0.0,0.0,21.0
Esteban Andrada,ARG,GK,27,18.0,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Emmanuel Más,ARG,DF,29,17.5,2,11,6,54.5,0.63,0.34,0.18,0.33,10.6,0,0,2018,0.0,1.4,1.4,0.13,0.6,0.6,21.0
Julio Buffarini,ARG,DF,29,17.0,1,10,3,30.0,0.59,0.18,0.1,0.33,24.0,0,0,2018,0.0,0.6,0.6,0.06,0.4,0.4,21.0
Mauro Zárate,ARG,"FW,MF",31,16.6,6,49,21,42.9,2.95,1.26,0.1,0.24,20.5,1,1,2018,8.0,4.9,4.1,0.08,1.1,0.9,21.0
Carlos Izquierdoz,ARG,DF,29,16.0,1,11,2,18.2,0.69,0.13,0.09,0.5,11.7,0,0,2018,0.0,1.1,1.1,0.1,-0.1,-0.1,21.0
Cristian Pavón,ARG,"FW,MF",22,12.8,4,37,14,37.8,2.9,1.1,0.11,0.29,19.3,0,0,2018,2.0,4.3,4.3,0.12,-0.3,-0.3,21.0
Carlos Tevez,ARG,"MF,FW",34,12.3,5,44,14,31.8,3.56,1.13,0.11,0.36,18.1,0,1,2018,4.0,6.5,5.7,0.13,-1.5,-0.7,21.0
Agustín Almendra,ARG,MF,18,11.9,1,17,2,11.8,1.43,0.17,0.06,0.5,25.7,0,0,2018,0.0,1.0,1.0,0.06,0.0,0.0,21.0
Iván Marcone,ARG,MF,28,11.0,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Nahitan Nández,URU,MF,22,10.1,2,9,4,44.4,0.89,0.4,0.22,0.5,15.0,0,0,2018,0.0,1.5,1.5,0.16,0.5,0.5,21.0
Sebastián Villa,COL,"FW,MF",22,9.9,3,13,8,61.5,1.31,0.81,0.23,0.38,19.6,0,0,2018,0.0,1.7,1.7,0.13,1.3,1.3,21.0
Darío Benedetto,ARG,FW,28,9.6,2,28,12,42.9,2.9,1.24,0.04,0.08,23.6,1,1,2018,0.0,3.1,2.3,0.08,-1.1,-1.3,21.0
Paolo Goltz,ARG,DF,33,9.9,0,1,1,100.0,0.1,0.1,0.0,0.0,9.7,0,0,2018,0.0,0.1,0.1,0.06,-0.1,-0.1,21.0
Ramón Ábila,ARG,FW,28,8.9,6,19,8,42.1,2.13,0.9,0.32,0.75,11.7,0,0,2018,0.0,6.5,6.5,0.34,-0.5,-0.5,21.0
Fernando Gago,ARG,MF,32,8.0,0,5,3,60.0,0.62,0.37,0.0,0.0,19.3,0,0,2018,0.0,0.2,0.2,0.04,-0.2,-0.2,21.0
Lisandro López,ARG,DF,28,8.0,2,4,4,100.0,0.5,0.5,0.5,0.5,10.8,0,0,2018,0.0,0.4,0.4,0.11,1.6,1.6,21.0
Jorman Campuzano,COL,MF,22,7.9,0,1,0,0.0,0.13,0.0,0.0,,26.4,0,0,2018,0.0,0.0,0.0,0.03,0.0,0.0,21.0
Edwin Cardona,COL,"FW,MF",25,7.5,3,19,6,31.6,2.53,0.8,0.11,0.33,28.2,1,1,2018,8.0,1.6,0.8,0.04,1.4,1.2,21.0
Lisandro Magallán,ARG,DF,24,7.1,1,5,1,20.0,0.71,0.14,0.2,1.0,9.3,0,0,2018,0.0,0.9,0.9,0.19,0.1,0.1,21.0
Emanuel Reynoso,ARG,"MF,FW",22,7.0,1,8,3,37.5,1.14,0.43,0.13,0.33,25.7,0,0,2018,1.0,0.3,0.3,0.04,0.7,0.7,21.0
Unknown,nan,Unknown,,,,,,,,,,,,,,2018,,0.0,0.0,,0.0,0.0,21.0
Júnior Alonso,PAR,DF,25,7.0,0,2,0,0.0,0.29,0.0,0.0,,7.9,0,0,2018,0.0,0.1,0.1,0.07,-0.1,-0.1,21.0
Agustín Rossi,ARG,GK,22,6.0,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Wílmar Barrios,COL,MF,24,5.7,0,1,0,0.0,0.18,0.0,0.0,,24.2,0,0,2018,0.0,0.0,0.0,0.03,0.0,0.0,21.0
Leonardo Balerdi,ARG,DF,19,5.0,0,2,0,0.0,0.4,0.0,0.0,,11.4,0,0,2018,0.0,0.1,0.1,0.06,-0.1,-0.1,21.0
Lucas Olaza,URU,DF,24,3.5,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Leonardo Jara,ARG,DF,27,3.4,0,4,0,0.0,1.16,0.0,0.0,,20.8,0,0,2018,0.0,0.1,0.1,0.03,-0.1,-0.1,21.0
Pablo Pérez,ARG,MF,32,3.7,0,6,1,16.7,1.63,0.27,0.0,0.0,25.7,0,0,2018,0.0,0.7,0.7,0.12,-0.7,-0.7,21.0
Cristian Espinoza,ARG,FW,23,3.3,2,9,3,33.3,2.72,0.91,0.22,0.67,17.5,0,0,2018,0.0,1.1,1.1,0.12,0.9,0.9,21.0
Gino Peruzzi,ARG,DF,26,3.0,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Julián Chicco,ARG,MF,20,2.5,0,1,0,0.0,0.4,0.0,0.0,,36.9,0,0,2018,0.0,0.0,0.0,0.02,0.0,0.0,21.0
Kevin Mac Allister,ARG,DF,20,1.2,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Marcos Guillermo Díaz,ARG,GK,32,1.0,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Frank Fabra,COL,DF,27,1.0,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Agustín Obando,ARG,MF,18,0.8,0,1,1,100.0,1.2,1.2,0.0,0.0,17.3,0,0,2018,0.0,0.1,0.1,0.05,-0.1,-0.1,21.0
Nicolás Capaldo,ARG,MF,20,0.1,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Brandon Cortés,CHI,MF,17,0.1,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Mateo Retegui,ITA,FW,19,0.1,0,0,0,,0.0,0.0,,,,0,0,2018,0.0,0.0,0.0,,0.0,0.0,21.0
Esteban Andrada,ARG,GK,28,20.0,0,0,0,,0.0,0.0,,,,0,0,2019,0.0,0.0,0.0,,0.0,0.0,21.0
Julio Buffarini,ARG,DF,30,19.7,0,5,1,20.0,0.25,0.05,0.0,0.0,21.1,0,0,2019,0.0,0.2,0.2,0.04,-0.2,-0.2,21.0
Frank Fabra,COL,DF,28,17.6,2,3,2,66.7,0.17,0.11,0.67,1.0,12.9,0,0,2019,0.0,0.9,0.9,0.3,1.1,1.1,21.0
Carlos Izquierdoz,ARG,DF,30,16.1,1,10,4,40.0,0.62,0.25,0.1,0.25,12.2,0,0,2019,0.0,0.7,0.7,0.07,0.3,0.3,21.0
Sebastián Villa,COL,"MF,FW",23,12.8,2,27,7,25.9,2.11,0.55,0.07,0.29,20.4,0,0,2019,2.0,3.0,3.0,0.11,-1.0,-1.0,21.0
Lisandro López,ARG,DF,29,12.3,1,9,4,44.4,0.73,0.32,0.11,0.25,12.7,0,0,2019,0.0,0.9,0.9,0.1,0.1,0.1,21.0
Iván Marcone,ARG,MF,29,12.5,0,0,0,,0.0,0.0,,,,0,0,2019,0.0,0.0,0.0,,0.0,0.0,21.0
Eduardo Salvio,ARG,"MF,FW",29,12.4,6,39,20,51.3,3.16,1.62,0.15,0.3,16.9,0,0,2019,0.0,4.3,4.2,0.11,1.7,1.8,21.0
Franco Soldano,ARG,FW,24,11.3,2,16,7,43.8,1.42,0.62,0.13,0.29,14.3,0,1,2019,0.0,2.8,2.0,0.13,-0.8,0.0,21.0
Júnior Alonso,PAR,DF,26,12.8,0,4,0,0.0,0.31,0.0,0.0,,13.2,0,0,2019,0.0,0.3,0.3,0.07,-0.3,-0.3,21.0
Carlos Tevez,ARG,"FW,MF",35,11.7,9,33,19,57.6,2.82,1.62,0.27,0.47,17.5,0,1,2019,5.0,5.7,4.9,0.15,3.3,4.1,21.0
Jorman Campuzano,COL,MF,23,10.5,0,3,0,0.0,0.29,0.0,0.0,,25.3,0,0,2019,0.0,0.1,0.1,0.04,-0.1,-0.1,21.0
Emanuel Reynoso,ARG,"MF,FW",23,10.0,1,13,6,46.2,1.3,0.6,0.08,0.17,23.5,0,0,2019,3.0,1.7,1.7,0.13,-0.7,-0.7,21.0
Nicolás Capaldo,ARG,MF,21,9.7,0,6,2,33.3,0.62,0.21,0.0,0.0,14.9,0,0,2019,0.0,1.1,1.1,0.18,-1.1,-1.1,21.0
Alexis Mac Allister,ARG,MF,20,7.9,1,24,12,50.0,3.05,1.53,0.04,0.08,23.3,0,0,2019,5.0,2.2,2.2,0.09,-1.2,-1.2,21.0
Guillermo Matías Fernández,ARG,MF,27,6.5,1,4,1,25.0,0.61,0.15,0.25,1.0,22.7,0,0,2019,1.0,0.2,0.2,0.05,0.8,0.8,21.0
Agustín Obando,ARG,"MF,FW",19,5.9,0,6,2,33.3,1.02,0.34,0.0,0.0,13.3,0,0,2019,0.0,0.9,0.9,0.15,-0.9,-0.9,21.0
Jan Carlos Hurtado,VEN,FW,19,7.1,1,16,5,31.3,2.25,0.7,0.06,0.2,13.8,0,0,2019,0.0,2.8,2.8,0.17,-1.8,-1.8,21.0
Agustín Almendra,ARG,MF,19,4.8,1,8,2,25.0,1.66,0.41,0.13,0.5,26.1,0,0,2019,0.0,1.1,1.1,0.14,-0.1,-0.1,21.0
