player,nation,position,age,nineties,shot_creating_actions,shot_creating_actions_per90,sca_pass_live,sca_pass_dead,sca_take_ons,sca_shots,sca_fouls_drawn,sca_def_actions,goal_creating_actions,goal_creating_actions_per90,gca_pass_live,gca_pass_dead,gca_take_ons,gca_shots,gca_fouls_drawn,gca_def_actions,season
Nahuel Génez,ARG,DF,17.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Iván Alvariño,ARG,FW,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Lucas Palma,ARG,FW,17.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Agustín Rossi,ARG,GK,26.0,44.2,8.0,0.18,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Guillermo Matías Fernández,ARG,MF,30.0,42.2,91.0,2.2,77.0,2.0,2.0,4.0,4.0,2.0,6.0,0.15,3.0,0.0,1.0,2.0,0.0,0.0,2022
Frank Fabra,COL,DF,30.0,41.9,91.0,2.21,60.0,11.0,14.0,2.0,3.0,1.0,13.0,0.32,10.0,1.0,2.0,0.0,0.0,0.0,2022
Luis Advíncula,PER,DF,31.0,41.1,63.0,1.56,47.0,10.0,1.0,2.0,2.0,1.0,3.0,0.07,3.0,0.0,0.0,0.0,0.0,0.0,2022
Sebastián Villa,COL,"MF,FW",25.0,32.7,172.0,5.37,83.0,37.0,23.0,12.0,16.0,1.0,30.0,0.94,13.0,6.0,6.0,2.0,3.0,0.0,2022
Alan Varela,ARG,MF,20.0,32.3,41.0,1.29,35.0,0.0,0.0,2.0,3.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,2022
Óscar Romero,PAR,MF,29.0,31.5,150.0,4.81,87.0,42.0,3.0,6.0,10.0,2.0,11.0,0.35,7.0,2.0,0.0,0.0,2.0,0.0,2022
Darío Benedetto,ARG,FW,31.0,30.0,63.0,2.15,43.0,0.0,3.0,6.0,10.0,1.0,4.0,0.14,3.0,0.0,0.0,0.0,1.0,0.0,2022
Marcos Rojo,ARG,DF,31.0,28.4,17.0,0.61,15.0,0.0,0.0,1.0,1.0,0.0,3.0,0.11,2.0,0.0,0.0,0.0,1.0,0.0,2022
Juan Ramírez,ARG,MF,28.0,24.8,68.0,2.79,44.0,2.0,4.0,5.0,12.0,1.0,9.0,0.37,4.0,1.0,0.0,1.0,2.0,1.0,2022
Carlos Zambrano,PER,DF,32.0,24.7,10.0,0.4,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,2022
Luis Vázquez,ARG,FW,21.0,21.5,37.0,1.72,28.0,0.0,5.0,2.0,2.0,0.0,4.0,0.19,3.0,0.0,0.0,0.0,1.0,0.0,2022
Cristian Medina,ARG,MF,19.0,16.0,35.0,2.23,29.0,0.0,0.0,2.0,3.0,1.0,4.0,0.25,2.0,0.0,0.0,0.0,1.0,1.0,2022
