player,nation,position,age,nineties,passes_attempted,passes_live,passes_dead,passes_from_free_kicks,through_balls,switches,crosses,throw_ins,corner_kicks,corners_inswinging,corners_outswinging,corners_straight,passes_completed,offsides_passes,passes_blocked,fbref_comp_id,season
Lucas Janson,ARG,"FW,MF",29.0,7.7,127.0,127.0,0.0,0.0,1.0,0.0,7,0.0,0.0,0.0,0.0,0.0,90.0,0.0,3.0,,2024
Frank Fabra,COL,"DF,MF",32.0,6.2,281.0,242.0,38.0,3.0,0.0,2.0,18,35.0,0.0,0.0,0.0,0.0,201.0,1.0,9.0,,2024
Milton Delgado,ARG,MF,18.0,6.0,165.0,159.0,6.0,5.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,140.0,0.0,3.0,,2024
Mauricio Benítez,ARG,MF,19.0,5.9,157.0,157.0,0.0,0.0,0.0,3.0,2,0.0,0.0,0.0,0.0,0.0,124.0,0.0,1.0,,2024
Nicolás Valentini,ARG,DF,22.0,5.8,157.0,140.0,17.0,6.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,3.0,,2024
Jorman Campuzano,COL,DF,27.0,5.8,291.0,280.0,11.0,8.0,0.0,4.0,0,3.0,0.0,0.0,0.0,0.0,264.0,0.0,1.0,,2024
Juan Barinaga,ARG,DF,23.0,5.3,306.0,229.0,77.0,4.0,0.0,2.0,14,73.0,0.0,0.0,0.0,0.0,222.0,0.0,4.0,,2024
Lucas Blondel,SUI,"DF,MF",27.0,4.7,219.0,188.0,31.0,2.0,1.0,4.0,15,29.0,0.0,0.0,0.0,0.0,144.0,0.0,7.0,,2024
Agustín Martegani,ARG,MF,23.0,4.3,151.0,129.0,22.0,9.0,0.0,0.0,10,1.0,12.0,2.0,2.0,0.0,116.0,0.0,5.0,,2024
Darío Benedetto,ARG,FW,33.0,3.7,42.0,40.0,2.0,0.0,2.0,2.0,2,0.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,,2024
Ezequiel Bullaude,ARG,"FW,MF",23.0,2.7,92.0,91.0,1.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,70.0,0.0,4.0,,2024
Mateo Mendía,ARG,DF,19.0,2.3,93.0,92.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,,2024
Julián Ceballos,ARG,MF,19.0,2.0,29.0,27.0,2.0,1.0,0.0,0.0,6,0.0,1.0,0.0,0.0,0.0,23.0,0.0,3.0,,2024
Norberto Briasco,ARM,"MF,FW",27.0,1.9,18.0,17.0,1.0,0.0,0.0,0.0,9,0.0,1.0,0.0,1.0,0.0,12.0,0.0,1.0,,2024
Juan Ramírez,ARG,MF,30.0,1.7,22.0,19.0,3.0,3.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,,2024
Vicente Taborda,ARG,MF,22.0,1.6,57.0,47.0,10.0,7.0,0.0,0.0,8,0.0,3.0,0.0,2.0,0.0,40.0,0.0,2.0,,2024
Javier Hernán García,ARG,GK,37.0,0.8,15.0,9.0,6.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,2024
Iker Zufiaurre,ARG,MF,18.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2024
Dylan Gorosito,ARG,DF,17.0,0.5,12.0,10.0,2.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,,2024
Joaquín Ruíz,ARG,FW,17.0,0.2,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,,2024
Walter Molas,ARG,DF,19.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2024
Santiago Dalmasso,ARG,MF,19.0,0.1,7.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,2024
Agustín Marchesín,ARG,GK,37-249,32.0,817.0,527.0,289.0,81.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,627.0,1.0,1.0,,2025
Lautaro Blanco,ARG,DF,26-274,29.8,1515.0,1255.0,256.0,9.0,0.0,4.0,193,237.0,10.0,1.0,5.0,0.0,1119.0,4.0,41.0,,2025
Rodrigo Battaglia,ARG,"DF,MF",34-131,24.9,1273.0,1219.0,52.0,51.0,0.0,3.0,7,0.0,0.0,0.0,0.0,0.0,1097.0,2.0,14.0,,2025
Miguel Merentiel,URU,FW,29-269,24.1,476.0,451.0,21.0,2.0,8.0,8.0,24,2.0,2.0,0.0,1.0,0.0,352.0,4.0,13.0,,2025
Carlos Palacios,CHI,MF,25-123,23.1,965.0,907.0,54.0,28.0,6.0,5.0,30,6.0,19.0,4.0,10.0,0.0,798.0,4.0,12.0,,2025
Lautaro Di Lollo,ARG,DF,21-255,22.2,1260.0,1225.0,31.0,29.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1121.0,4.0,6.0,,2025
Ayrton Costa,ARG,DF,26-131,19.1,795.0,747.0,46.0,24.0,0.0,5.0,4,5.0,1.0,0.0,1.0,0.0,703.0,2.0,9.0,,2025
Milton Giménez,ARG,FW,29-100,17.3,252.0,230.0,21.0,1.0,3.0,4.0,5,1.0,0.0,0.0,0.0,0.0,182.0,1.0,7.0,,2025
Edinson Cavani,URU,FW,38-279,15.5,270.0,248.0,21.0,0.0,1.0,9.0,2,3.0,0.0,0.0,0.0,0.0,205.0,1.0,10.0,,2025
Juan Barinaga,ARG,DF,25-041,14.8,844.0,681.0,163.0,7.0,0.0,4.0,49,156.0,0.0,0.0,0.0,0.0,635.0,0.0,22.0,,2025
Luis Advíncula,PER,DF,35-263,14.7,589.0,470.0,119.0,10.0,0.0,5.0,37,108.0,0.0,0.0,0.0,0.0,484.0,0.0,14.0,,2025
Milton Delgado,ARG,MF,20-157,14.6,870.0,848.0,19.0,18.0,1.0,7.0,0,1.0,0.0,0.0,0.0,0.0,786.0,3.0,15.0,,2025
Alan Velasco,ARG,"MF,FW",23-116,13.8,464.0,423.0,38.0,16.0,2.0,13.0,44,5.0,17.0,11.0,5.0,0.0,357.0,3.0,14.0,,2025
Tomás Belmonte,ARG,MF,27-177,13.5,464.0,462.0,2.0,2.0,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,401.0,0.0,12.0,,2025
Leandro Paredes,ARG,MF,31-144,13.2,1253.0,1074.0,173.0,97.0,8.0,23.0,85,7.0,69.0,29.0,33.0,0.0,1040.0,6.0,7.0,,2025
Kevin Zenon,ARG,"MF,FW",24-113,12.7,485.0,435.0,49.0,17.0,0.0,7.0,96,8.0,24.0,10.0,11.0,0.0,337.0,1.0,21.0,,2025
Exequiel Zeballos,ARG,"MF,FW",23-210,12.0,313.0,296.0,17.0,3.0,0.0,4.0,43,4.0,9.0,2.0,5.0,0.0,238.0,0.0,15.0,,2025
Marcos Rojo,ARG,DF,35-245,9.5,638.0,616.0,20.0,19.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,563.0,2.0,2.0,,2025
William Alarcón,CHI,MF,25-000,9.3,416.0,389.0,24.0,16.0,4.0,2.0,13,2.0,6.0,1.0,5.0,0.0,358.0,3.0,6.0,,2025
Brian Aguirre,ARG,"MF,FW",22-172,8.1,221.0,214.0,7.0,1.0,0.0,1.0,24,5.0,1.0,0.0,0.0,0.0,152.0,0.0,8.0,,2025
Marco Pellegrino,ARG,DF,23-125,7.0,319.0,308.0,11.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,4.0,,2025
Lucas Blondel,SUI,"DF,MF",29-067,6.1,324.0,284.0,37.0,2.0,0.0,5.0,15,35.0,0.0,0.0,0.0,0.0,237.0,3.0,9.0,,2025
Ander Herrera,ESP,MF,36-098,5.1,410.0,399.0,10.0,9.0,3.0,1.0,8,1.0,0.0,0.0,0.0,0.0,346.0,1.0,9.0,,2025
Marcelo Saracchi,URU,"DF,MF",27-211,4.1,196.0,165.0,31.0,1.0,0.0,0.0,15,30.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,,2025
Malcom Braida,ARG,"FW,MF",28-187,3.6,55.0,55.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,,2025
Camilo Rey,ARG,MF,19-255,3.4,175.0,171.0,3.0,3.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,152.0,1.0,1.0,,2025
Leandro Brey,ARG,GK,23-060,3.0,79.0,58.0,20.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,,2025
Jorge Figal,ARG,DF,31-231,2.8,95.0,91.0,3.0,2.0,0.0,2.0,1,1.0,0.0,0.0,0.0,0.0,73.0,1.0,1.0,,2025
Lucas Janson,ARG,"FW,MF",31-096,1.3,34.0,33.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,,2025
Frank Fabra,COL,DF,34-271,1.2,61.0,50.0,10.0,1.0,0.0,0.0,1,9.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,,2025
Ignacio Miramon,ARG,"MF,FW",22-161,1.1,55.0,53.0,2.0,2.0,0.0,3.0,2,0.0,0.0,0.0,0.0,0.0,42.0,0.0,1.0,,2025
Mateo Mendía,ARG,DF,21-290,1.0,57.0,56.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,,2025
Agustín Martegani,ARG,MF,25-184,0.6,21.0,18.0,3.0,2.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,,2025
Joaquín Ruíz,ARG,"MF,FW",19-122,0.3,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,2025
Santiago Dalmasso,ARG,MF,21-155,0.1,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,2025
