player,nation,position,age,nineties,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribble_challenges,dribble_tackle_pct,dribbled_past,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors,fbref_comp_id,season
Gino Peruzzi,ARG,,25.0,3.5,8.0,5.0,4.0,2.0,2.0,5.0,8.0,62.5,3.0,6.0,3.0,3.0,5.0,13.0,10.0,0.0,21.0,2017
,nan,,,,,,,,,,,,,,,,,,,,21.0,2017
Cristian Espinoza,ARG,,22.0,3.1,3.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,21.0,2017
Sebastián Pérez Cardona,COL,,24.0,2.5,10.0,4.0,8.0,2.0,0.0,3.0,7.0,42.9,4.0,2.0,1.0,1.0,7.0,17.0,6.0,0.0,21.0,2017
Oscar Benítez,ARG,,24.0,3.1,8.0,4.0,2.0,3.0,3.0,3.0,5.0,60.0,2.0,6.0,0.0,6.0,1.0,9.0,4.0,0.0,21.0,2017
Agustín Heredia,ARG,,20.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,6.0,9.0,24.0,0.0,21.0,2017
Guido Vadalá,ARG,,20.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,21.0,2017
Agustín Almendra,ARG,,17.0,1.1,2.0,1.0,1.0,0.0,1.0,2.0,4.0,50.0,2.0,4.0,0.0,4.0,1.0,3.0,2.0,0.0,21.0,2017
Julián Chicco,ARG,,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,8.0,9.0,3.0,0.0,21.0,2017
Gonzalo Goñi,ARG,,18.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,1.0,2.0,9.0,0.0,21.0,2017
Guillermo Sara,ARG,,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,2017
Gonzalo Maroni,ARG,,18.0,1.3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,21.0,2017
Agustín Bouzat,ARG,,23.0,0.5,3.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,21.0,2017
Gonzalo Lamardo,ARG,,20.0,0.3,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,2017
Fernando Evangelista,ARG,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2017
Juan Manuel Insaurralde,ARG,,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2017
Esteban Andrada,ARG,,27.0,18.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,21.0,2018
Emmanuel Más,ARG,,29.0,17.5,41.0,25.0,22.0,14.0,5.0,17.0,29.0,58.6,12.0,15.0,3.0,12.0,26.0,67.0,51.0,0.0,21.0,2018
Julio Buffarini,ARG,,29.0,17.0,52.0,36.0,32.0,17.0,3.0,32.0,60.0,53.3,28.0,26.0,6.0,20.0,23.0,75.0,53.0,1.0,21.0,2018
Mauro Zárate,ARG,,31.0,16.6,16.0,10.0,5.0,9.0,2.0,1.0,25.0,4.0,24.0,10.0,2.0,8.0,7.0,23.0,1.0,2.0,21.0,2018
Carlos Izquierdoz,ARG,,29.0,16.0,23.0,15.0,19.0,4.0,0.0,12.0,21.0,57.1,9.0,14.0,11.0,3.0,40.0,63.0,100.0,0.0,21.0,2018
Cristian Pavón,ARG,,22.0,12.8,19.0,14.0,7.0,7.0,5.0,7.0,24.0,29.2,17.0,7.0,0.0,7.0,12.0,31.0,5.0,0.0,21.0,2018
Carlos Tevez,ARG,,34.0,12.3,13.0,6.0,3.0,5.0,5.0,3.0,17.0,17.6,14.0,5.0,0.0,5.0,1.0,14.0,1.0,1.0,21.0,2018
Agustín Almendra,ARG,,18.0,11.9,55.0,35.0,29.0,20.0,6.0,23.0,43.0,53.5,20.0,36.0,1.0,35.0,22.0,77.0,18.0,0.0,21.0,2018
Iván Marcone,ARG,,28.0,11.0,42.0,34.0,18.0,23.0,1.0,22.0,44.0,50.0,22.0,11.0,3.0,8.0,22.0,64.0,22.0,0.0,21.0,2018
Nahitan Nández,URU,,22.0,10.1,40.0,25.0,20.0,17.0,3.0,11.0,23.0,47.8,12.0,11.0,1.0,10.0,9.0,49.0,11.0,0.0,21.0,2018
Sebastián Villa,COL,,22.0,9.9,21.0,16.0,4.0,16.0,1.0,5.0,19.0,26.3,14.0,13.0,0.0,13.0,7.0,28.0,5.0,0.0,21.0,2018
Darío Benedetto,ARG,,28.0,9.6,5.0,2.0,0.0,3.0,2.0,1.0,6.0,16.7,5.0,3.0,1.0,2.0,2.0,7.0,7.0,0.0,21.0,2018
Paolo Goltz,ARG,,33.0,9.9,15.0,9.0,9.0,6.0,0.0,4.0,7.0,57.1,3.0,18.0,12.0,6.0,14.0,29.0,70.0,0.0,21.0,2018
Ramón Ábila,ARG,,28.0,8.9,3.0,1.0,1.0,0.0,2.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,21.0,2018
Fernando Gago,ARG,,32.0,8.0,18.0,15.0,9.0,8.0,1.0,8.0,14.0,57.1,6.0,7.0,0.0,7.0,5.0,23.0,7.0,0.0,21.0,2018
Lisandro López,ARG,,28.0,8.0,12.0,6.0,7.0,5.0,0.0,4.0,9.0,44.4,5.0,12.0,8.0,4.0,3.0,15.0,53.0,0.0,21.0,2018
Jorman Campuzano,COL,,22.0,7.9,29.0,20.0,12.0,16.0,1.0,12.0,26.0,46.2,14.0,11.0,3.0,8.0,16.0,45.0,19.0,3.0,21.0,2018
Edwin Cardona,COL,,25.0,7.5,4.0,4.0,1.0,2.0,1.0,1.0,4.0,25.0,3.0,1.0,0.0,1.0,9.0,13.0,8.0,0.0,21.0,2018
Lisandro Magallán,ARG,,24.0,7.1,9.0,7.0,3.0,6.0,0.0,2.0,2.0,100.0,0.0,6.0,3.0,3.0,8.0,17.0,41.0,0.0,21.0,2018
Emanuel Reynoso,ARG,,22.0,7.0,28.0,19.0,8.0,16.0,4.0,11.0,23.0,47.8,12.0,21.0,1.0,20.0,4.0,32.0,7.0,0.0,21.0,2018
,nan,,,,,,,,,,,,,,,,,,,,21.0,2018
Júnior Alonso,PAR,,25.0,7.0,12.0,11.0,7.0,5.0,0.0,6.0,12.0,50.0,6.0,5.0,0.0,5.0,3.0,15.0,25.0,0.0,21.0,2018
Agustín Rossi,ARG,,22.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,21.0,2018
Wílmar Barrios,COL,,24.0,5.7,24.0,17.0,18.0,6.0,0.0,12.0,24.0,50.0,12.0,6.0,3.0,3.0,10.0,34.0,17.0,0.0,21.0,2018
Leonardo Balerdi,ARG,,19.0,5.0,7.0,7.0,4.0,3.0,0.0,3.0,4.0,75.0,1.0,6.0,4.0,2.0,7.0,14.0,34.0,0.0,21.0,2018
Lucas Olaza,URU,,24.0,3.5,10.0,8.0,6.0,3.0,1.0,6.0,10.0,60.0,4.0,7.0,2.0,5.0,5.0,15.0,11.0,0.0,21.0,2018
Leonardo Jara,ARG,,27.0,3.4,11.0,6.0,6.0,3.0,2.0,4.0,5.0,80.0,1.0,3.0,0.0,3.0,9.0,20.0,12.0,0.0,21.0,2018
Pablo Pérez,ARG,,32.0,3.7,14.0,10.0,4.0,9.0,1.0,1.0,9.0,11.1,8.0,3.0,0.0,3.0,8.0,22.0,1.0,0.0,21.0,2018
Cristian Espinoza,ARG,,23.0,3.3,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,0.0,21.0,2018
Gino Peruzzi,ARG,,26.0,3.0,6.0,4.0,2.0,4.0,0.0,2.0,6.0,33.3,4.0,4.0,1.0,3.0,5.0,11.0,7.0,0.0,21.0,2018
Julián Chicco,ARG,,20.0,2.5,3.0,3.0,2.0,1.0,0.0,2.0,10.0,20.0,8.0,1.0,0.0,1.0,9.0,12.0,6.0,0.0,21.0,2018
Kevin Mac Allister,ARG,,20.0,1.2,10.0,8.0,6.0,4.0,0.0,5.0,8.0,62.5,3.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,21.0,2018
Marcos Guillermo Díaz,ARG,,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2018
Frank Fabra,COL,,27.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,21.0,2018
Agustín Obando,ARG,,18.0,0.8,4.0,4.0,2.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,21.0,2018
Nicolás Capaldo,ARG,,20.0,0.1,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,2018
Brandon Cortés,CHI,,17.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,2018
Mateo Retegui,ITA,,19.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,2018
Esteban Andrada,ARG,,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,21.0,2019
Julio Buffarini,ARG,,30.0,19.7,42.0,25.0,23.0,12.0,7.0,27.0,57.0,47.4,30.0,23.0,7.0,16.0,20.0,62.0,34.0,0.0,21.0,2019
Frank Fabra,COL,,28.0,17.6,29.0,16.0,21.0,8.0,0.0,18.0,25.0,72.0,7.0,11.0,5.0,6.0,22.0,51.0,29.0,0.0,21.0,2019
Carlos Izquierdoz,ARG,,30.0,16.1,17.0,9.0,16.0,1.0,0.0,8.0,21.0,38.1,13.0,15.0,9.0,6.0,37.0,54.0,91.0,0.0,21.0,2019
Sebastián Villa,COL,,23.0,12.8,16.0,11.0,6.0,8.0,2.0,6.0,13.0,46.2,7.0,11.0,0.0,11.0,11.0,27.0,2.0,0.0,21.0,2019
Lisandro López,ARG,,29.0,12.3,19.0,13.0,11.0,8.0,0.0,10.0,13.0,76.9,3.0,12.0,9.0,3.0,15.0,34.0,60.0,1.0,21.0,2019
Iván Marcone,ARG,,29.0,12.5,43.0,29.0,20.0,22.0,1.0,24.0,45.0,53.3,21.0,19.0,6.0,13.0,19.0,62.0,15.0,0.0,21.0,2019
Eduardo Salvio,ARG,,29.0,12.4,11.0,7.0,2.0,6.0,3.0,3.0,22.0,13.6,19.0,7.0,0.0,7.0,5.0,16.0,5.0,0.0,21.0,2019
Franco Soldano,ARG,,24.0,11.3,7.0,5.0,1.0,4.0,2.0,3.0,13.0,23.1,10.0,13.0,4.0,9.0,2.0,9.0,16.0,0.0,21.0,2019
Júnior Alonso,PAR,,26.0,12.8,21.0,14.0,12.0,9.0,0.0,16.0,18.0,88.9,2.0,18.0,12.0,6.0,23.0,44.0,59.0,0.0,21.0,2019
Carlos Tevez,ARG,,35.0,11.7,9.0,9.0,2.0,3.0,4.0,3.0,13.0,23.1,10.0,8.0,0.0,8.0,2.0,11.0,2.0,0.0,21.0,2019
Jorman Campuzano,COL,,23.0,10.5,36.0,23.0,18.0,18.0,0.0,13.0,27.0,48.1,14.0,14.0,2.0,12.0,25.0,61.0,15.0,0.0,21.0,2019
Emanuel Reynoso,ARG,,23.0,10.0,38.0,25.0,20.0,13.0,5.0,12.0,43.0,27.9,31.0,18.0,0.0,18.0,8.0,46.0,6.0,0.0,21.0,2019
Nicolás Capaldo,ARG,,21.0,9.7,33.0,22.0,7.0,21.0,5.0,14.0,29.0,48.3,15.0,12.0,1.0,11.0,20.0,53.0,9.0,0.0,21.0,2019
Alexis Mac Allister,ARG,,20.0,7.9,10.0,4.0,4.0,3.0,3.0,5.0,16.0,31.3,11.0,12.0,1.0,11.0,1.0,11.0,3.0,0.0,21.0,2019
Guillermo Matías Fernández,ARG,,27.0,6.5,20.0,14.0,9.0,10.0,1.0,6.0,19.0,31.6,13.0,6.0,1.0,5.0,13.0,33.0,4.0,0.0,21.0,2019
Agustín Obando,ARG,,19.0,5.9,7.0,6.0,2.0,3.0,2.0,2.0,8.0,25.0,6.0,7.0,1.0,6.0,4.0,11.0,11.0,0.0,21.0,2019
Jan Carlos Hurtado,VEN,,19.0,7.1,4.0,3.0,0.0,3.0,1.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,3.0,7.0,13.0,0.0,21.0,2019
Agustín Almendra,ARG,,19.0,4.8,11.0,5.0,3.0,8.0,0.0,6.0,18.0,33.3,12.0,8.0,1.0,7.0,9.0,20.0,5.0,0.0,21.0,2019
Mauro Zárate,ARG,,32.0,5.4,6.0,4.0,1.0,4.0,1.0,2.0,3.0,66.7,1.0,3.0,0.0,3.0,2.0,8.0,1.0,0.0,21.0,2019
Ramón Ábila,ARG,,29.0,5.2,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,21.0,2019
Emmanuel Más,ARG,,30.0,4.9,10.0,4.0,5.0,5.0,0.0,5.0,9.0,55.6,4.0,6.0,2.0,4.0,7.0,17.0,9.0,0.0,21.0,2019
Paolo Goltz,ARG,,34.0,4.0,6.0,3.0,5.0,1.0,0.0,3.0,5.0,60.0,2.0,3.0,3.0,0.0,8.0,14.0,30.0,0.0,21.0,2019
Daniele De Rossi,ITA,,36.0,3.8,3.0,3.0,1.0,2.0,0.0,1.0,4.0,25.0,3.0,5.0,3.0,2.0,10.0,13.0,9.0,0.0,21.0,2019
Marcos Guillermo Díaz,ARG,,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2019
Marcelo Weigandt,ARG,,19.0,3.0,7.0,6.0,1.0,5.0,1.0,2.0,4.0,50.0,2.0,5.0,3.0,2.0,2.0,9.0,3.0,0.0,21.0,2019
Carlos Zambrano,PER,,30.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,21.0,2019
Gastón Ávila,ARG,,17.0,0.1,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,21.0,2019
Carlos Izquierdoz,ARG,,31.0,19.7,24.0,20.0,22.0,2.0,0.0,11.0,17.0,64.7,6.0,14.0,11.0,3.0,44.0,52.0,40.0,0.0,,2020
Esteban Andrada,ARG,,29.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,,2020
Nicolás Capaldo,ARG,,22.0,17.3,20.0,29.0,6.0,14.0,0.0,7.0,20.0,35.0,13.0,9.0,1.0,8.0,24.0,26.0,9.0,0.0,,2020
Sebastián Villa,COL,,23.0,15.1,6.0,12.0,2.0,3.0,1.0,4.0,13.0,30.8,9.0,8.0,0.0,8.0,10.0,11.0,1.0,0.0,,2020
Jorman Campuzano,COL,,23.0,14.8,29.0,29.0,11.0,18.0,0.0,13.0,23.0,56.5,10.0,14.0,6.0,8.0,20.0,40.0,14.0,0.0,,2020
Julio Buffarini,ARG,,31.0,14.4,10.0,22.0,5.0,5.0,0.0,3.0,8.0,37.5,5.0,2.0,0.0,2.0,26.0,20.0,8.0,0.0,,2020
Carlos Tevez,ARG,,35.0,14.3,8.0,7.0,2.0,6.0,0.0,6.0,10.0,60.0,4.0,5.0,0.0,5.0,5.0,12.0,0.0,0.0,,2020
Leonardo Jara,ARG,,28.0,14.1,25.0,28.0,10.0,12.0,3.0,13.0,22.0,59.1,9.0,14.0,1.0,13.0,18.0,38.0,13.0,0.0,,2020
Eduardo Salvio,ARG,,29.0,13.7,10.0,12.0,2.0,6.0,2.0,6.0,11.0,54.5,5.0,10.0,0.0,10.0,15.0,21.0,2.0,0.0,,2020
Carlos Zambrano,PER,,30.0,13.1,5.0,13.0,4.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,26.0,11.0,18.0,0.0,,2020
Frank Fabra,COL,,28.0,12.7,11.0,13.0,7.0,4.0,0.0,5.0,15.0,33.3,10.0,4.0,2.0,2.0,30.0,30.0,12.0,0.0,,2020
Edwin Cardona,COL,,27.0,12.6,4.0,10.0,1.0,3.0,0.0,1.0,2.0,50.0,1.0,4.0,2.0,2.0,17.0,10.0,2.0,0.0,,2020
Emmanuel Más,ARG,,31.0,11.6,6.0,12.0,5.0,1.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,23.0,13.0,9.0,0.0,,2020
Lisandro López,ARG,,30.0,11.3,14.0,15.0,9.0,5.0,0.0,7.0,10.0,70.0,3.0,6.0,3.0,3.0,11.0,19.0,28.0,0.0,,2020
Franco Soldano,ARG,,25.0,10.1,5.0,5.0,0.0,5.0,0.0,1.0,10.0,10.0,9.0,7.0,0.0,7.0,4.0,8.0,3.0,0.0,,2020
Ramón Ábila,ARG,,30.0,9.2,1.0,4.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,2020
Mauro Zárate,ARG,,32.0,7.8,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020
Agustín Rossi,ARG,,24.0,6.0,,0.0,,,,,,,,,,,0.0,0.0,,,,2020
Guillermo Matías Fernández,ARG,,28.0,5.4,11.0,6.0,4.0,6.0,1.0,0.0,10.0,0.0,10.0,5.0,1.0,4.0,9.0,19.0,5.0,0.0,,2020
